.trial,avg_customers
1,121.2
2,135.54
3,125.74
4,125.16
5,120.18
6,124.6
7,119.1
8,123.42
9,122.88
10,133.94
11,124.14
12,130.04
13,127.8
14,125.34
15,119.82
16,133.52
17,119.72
18,126.18
19,125.5
20,123.06
21,117.53999999999999
22,123.66
23,129.44
24,127.78
25,119.58
26,121.82
27,129.32
28,124.64
29,128.84
30,128.86
31,128.86
32,129.82
33,135.22
34,116.52
35,137.02
36,120.4
37,123.5
38,127.66
39,122.62
40,119.6
41,126.76
42,114.28
43,112.8
44,124.62
45,120.14
46,117.84
47,131.52
48,123.2
49,114.18
50,122.1
51,129.78
52,125.1
53,120.78
54,117.58
55,120.96
56,114.28
57,120.84
58,124.82
59,127.78
60,131.84
61,131.06
62,119.32
63,121.68
64,125.86
65,119.38
66,120.42
67,128.24
68,134.32
69,120.52
70,130.38
71,125.8
72,119.26
73,121.42
74,127.44
75,116.58
76,119.6
77,128.92
78,124.96000000000001
79,118
80,129.1
81,114.56
82,125.32
83,120.76
84,119.68
85,120
86,122.66
87,120.6
88,137.92000000000002
89,116.42
90,131.5
91,119.98
92,121.08
93,121.9
94,120.12
95,115.96000000000001
96,128.78
97,121.26
98,123.78
99,119.48
100,117.64
101,122.12
102,118.44
103,124.2
104,120.46000000000001
105,119.42
106,127.1
107,123.22
108,115.84
109,120.02
110,126.98
111,127.82
112,130.07999999999998
113,118.42
114,125.82
115,118.32
116,123.9
117,119.6
118,128.82
119,129.78
120,122.32
121,121.18
122,127.38
123,125.94
124,122.4
125,123.5
126,125.32
127,122.9
128,119.7
129,121.98
130,122.3
131,131.9
132,118.38
133,112.02
134,132.56
135,123.84
136,119.98
137,124.42
138,127.74
139,126.4
140,118.06
141,134.44
142,130.48
143,125.92
144,131.92
145,122.04
146,118.72
147,120.62
148,125.28
149,124.98
150,126.74
151,118.97999999999999
152,124.72
153,121.86
154,121.84
155,129.08
156,114.18
157,121.8
158,129.42
159,128.5
160,127.88
161,116.66
162,127.44
163,125.92
164,121.28
165,117.86
166,121.86
167,120.16
168,129.3
169,124.82
170,118.68
171,125.24
172,124
173,128.82
174,125.52
175,129.5
176,126.58
177,129.64
178,122.88
179,124.36
180,124.3
181,129.48
182,122.9
183,121.2
184,118.46000000000001
185,125.18
