customers,kiosk
134,Beach
131,Beach
136,Beach
162,Beach
118,Beach
138,Beach
115,Beach
146,Beach
106,Beach
106,Beach
136,Beach
115,Beach
217,Beach
106,Beach
131,Beach
217,Beach
217,Beach
182,Beach
162,Beach
154,Beach
187,Beach
118,Beach
182,Beach
131,Beach
129,Beach
136,Beach
148,Beach
146,Beach
187,Beach
120,Beach
191,Beach
134,Beach
118,Beach
105,Beach
187,Beach
182,Beach
182,Beach
118,Beach
146,Beach
120,Beach
187,Beach
120,Beach
203,Beach
217,Beach
164,Beach
106,Beach
154,Beach
191,Beach
105,Beach
138,Beach
168,Beach
217,Beach
217,Beach
203,Beach
120,Beach
134,Beach
182,Beach
134,Beach
122,Beach
106,Beach
203,Beach
146,Beach
154,Beach
115,Beach
115,Beach
187,Beach
122,Beach
148,Beach
115,Beach
138,Beach
148,Beach
164,Beach
129,Beach
105,Beach
106,Beach
115,Beach
131,Beach
217,Beach
106,Beach
115,Beach
217,Beach
136,Beach
217,Beach
146,Beach
162,Beach
154,Beach
122,Beach
191,Beach
217,Beach
136,Beach
162,Beach
136,Beach
187,Beach
162,Beach
146,Beach
115,Beach
134,Beach
120,Beach
106,Beach
154,Beach
131,Beach
118,Beach
138,Beach
118,Beach
191,Beach
164,Beach
118,Beach
115,Beach
191,Beach
106,Beach
136,Beach
148,Beach
136,Beach
115,Beach
162,Beach
154,Beach
136,Beach
131,Beach
134,Beach
128,Beach
148,Beach
146,Beach
146,Beach
187,Beach
134,Beach
146,Beach
203,Beach
136,Beach
187,Beach
118,Beach
106,Beach
203,Beach
122,Beach
128,Beach
120,Beach
146,Beach
146,Beach
129,Beach
191,Beach
136,Beach
131,Beach
217,Beach
187,Beach
115,Beach
182,Beach
187,Beach
164,Beach
122,Beach
105,Beach
131,Beach
128,Beach
106,Beach
134,Beach
187,Beach
129,Beach
168,Beach
154,Beach
106,Beach
217,Beach
122,Beach
128,Beach
115,Beach
146,Beach
122,Beach
106,Beach
154,Beach
162,Beach
129,Beach
106,Beach
191,Beach
115,Beach
148,Beach
118,Beach
106,Beach
146,Beach
217,Beach
146,Beach
154,Beach
136,Beach
120,Beach
