Product,Expenditure,Demand
Y,376.126172790291,475.065432298994
Y,411.623185835986,588.77540069996
X,143.507425927199,531.754985428092
X,219.870430913533,520.855043293915
X,165.708696416097,591.213095723006
Y,369.454512819682,515.469012151443
Y,355.019937564652,497.99473055459
Y,501.549413747428,578.859395395931
Y,302.518882889406,423.44776213021
Y,304.905719984584,476.674389605254
Y,336.812217290397,467.889395949659
Y,417.438427351422,442.487881668296
X,306.28199544565,631.176298493848
X,185.694004074674,651.143121885111
Z,506.841994379814,342.53539319547
Z,580.256892878134,470.620813573434
X,212.172901356678,563.410294945224
Z,470.861361194247,372.819880869843
X,145.831141397263,614.731571927692
Y,255.512638782286,470.717576732776
Y,455.79418703577,565.843432527297
X,133.288830223359,611.428683812816
X,265.016396365907,619.438110268625
Z,611.040593259282,385.501333001442
X,191.110579728514,695.66996618589906
X,187.53782490821,525.670300476175
X,243.295986284219,621.603410855498
Z,648.930117336646,518.539654231218
Y,397.927518321778,472.486784610265
Y,318.654222434657,442.506176396084
X,206.706502968059,619.561139510317
Y,356.171368288401,439.103867281551
X,222.488121914736,614.805195293207
Z,695.163152946309,517.412667994784
Z,591.431660850516,472.403258556914
X,223.844434243355,591.830552815277
X,218.731316174365,652.341518543191
X,247.74076861486,632.815847544368
X,206.782952903268,577.776778830395
Z,676.341996290644,486.890639510733
Y,360.618653751225,508.855750389097
Z,578.52778186425,346.887807068838
Y,542.41230272196,529.816251891681
Y,493.576000198253,620.089460352804
Y,318.702775915924,461.704509971961
Y,169.897087267014,316.203523581772
Z,716.18611146353,478.791166676145
Z,492.574436727668,409.70681672845
Z,535.515209285127,349.232908813302
X,237.222200487508,562.491080760876
X,290.086187029735,645.728491509549
X,197.527862342001,587.264796087612
Y,427.745196758978,477.292762772581
Z,771.992452782004,415.873616206768
Y,290.468533191807,405.950875584658
X,183.225241192235,540.614439751226
X,231.062070161385,661.049310699261
Z,454.106472555311,306.988968224342
Y,494.584023948704,569.994042047831
Y,489.900557287962,537.035400311867
Y,334.42090529064,412.930407303244
Z,637.845531691724,355.942136685213
Y,432.814413264273,551.194389347163
Z,520.614700233089,419.747146455231
Y,463.69958655402,524.315862692622
Y,478.244279506098,551.757650201254
Z,557.533345792094,366.925983936693
Z,591.96466065864,391.005409225679
Z,621.47069263975,358.791913669683
Z,432.521782913058,319.180925351425
X,187.36011341604,549.742759500936
X,264.86307999631,637.933806876537
Y,416.500267770581,502.65277824765
Y,521.267567474586,561.788121436417
Z,708.087989436163,466.353770070453
Y,446.757480824064,610.162183099346
Y,250.884220265817,501.937676179483
Y,445.461753056303,578.944485418797
Z,693.468218124044,464.644694756234
Z,408.818829075756,289.817439884652
Z,702.805003512484,374.357477989492
Z,538.173138394761,338.205913921858
Z,598.312692209614,429.442756769685
X,207.714908479298,660.887896093036
Z,467.651721418899,352.738945369363
X,163.214836921281,526.193164982378
Z,641.749192797007,458.753678353003
Z,720.349783995486,492.075740706699
X,204.297293248481,631.332474154912
X,227.767349515416,540.412793170041
Z,635.510097111483,394.5681280728
X,215.708315064766,600.586087331122
Z,782.139788829236,507.270560122264
X,255.690266134973,664.569216811639
X,186.071136697967,592.169487630196
X,258.886066398761,646.068588773984
Y,445.003013316383,576.941929146411
Y,395.764787304618,581.858789408356
Z,638.938840330266,413.401604448972
X,163.339243517519,565.465066326314
Y,406.707284921815,543.557018755726
Y,358.993869066998,452.944268388492
Y,381.829278307017,484.690455790373
Y,488.093467370758,507.632651121463
X,306.722887974216,676.624833940125
X,154.369616861073,558.77692402594
X,300.669595302832,671.5628968744
X,216.944671852021,589.85613294757
X,141.002547487746,588.253241061634
Y,306.443400803662,445.128796144
X,183.94218288613,597.39613956084
Y,440.495193806522,485.508710650364
Y,279.427437198325,480.244787744786
Z,687.053640099753,445.224422699038
X,194.84481254002,617.950792728579
X,180.805868635557,629.74379245375
X,168.257447880752,635.829304503078
X,271.81581930579,615.970033085184
X,127.96074117667,482.868543281891
X,191.389890100563,615.593831346675
Y,412.14695478888,541.608189459405
Y,484.56808884022,530.539237154915
Y,392.317733640792,569.457803162138
Z,813.866864804044,447.722331518504
Z,434.815148109031,393.864848730318
X,206.625141955533,671.017925161157
X,160.108009302712,643.869656229223
Z,566.19237487108,364.260046435649
Z,594.554702533754,405.059414495622
Y,333.202677175869,465.575151572833
X,214.715188750793,595.558569909674
Y,382.211358552764,480.399454937044
X,207.729562675822,569.041795207436
X,280.38920553482,677.054161014593
Y,449.655811636568,573.133947977195
Z,818.861014608915,575.052837327985
Y,388.815515132949,418.470893371235
X,205.193319835312,658.919940672589
Y,396.325294580639,566.455832889237
X,176.267551508584,606.144823962008
Z,521.503523420958,508.130873151927
Y,296.753521496992,453.341212394136
Z,454.159745385011,300.74470602785
Z,574.608051828776,408.865888836435
Y,271.672741382843,381.909650701501
Z,733.471063580223,511.749821896233
X,267.858058542091,735.152417428018
